company,yearFounded,link
Bcoin-Sg,2017,https://www.linkedin.com/company/bcoinsg/
Airswap,2017,https://www.linkedin.com/company/airswap/
Tdax,2017,https://www.cryptocompare.com/exchanges/tdax/overview
Mercado-Bitcoin,2017,https://www.mercadobitcoin.com.br/quem-somos
Koineks,2017,https://www.linkedin.com/company/koineks-teknoloji-a-s
Iquant,2017,https://icobench.com/ico/iquant-chain
Ethfinex,2017,https://www.linkedin.com/company/ethfinex/
Ddex,2017,https://www.linkedin.com/company/ddex-io/
Coinfalcon,2017,https://www.linkedin.com/company/coinfalcon/
C-Patex,2017,https://steemit.com/embercoin/@officialchartis/embercoin-now-listed-on-c-patex-emb-btc-and-emb-ltc
Trade-By-Trade,2017,https://tradebytrade.com/about-us/
Tradeogre,2018,https://www.coingecko.com/en/exchanges/trade_ogre
Stellarport,2018,https://www.finder.com/stellarport-exchange-review
Ovis,2018,https://www.linkedin.com/company/ovi%CC%87s/
Kryptono,2018,https://www.coingecko.com/en/exchanges/kryptono
Hbus,2018,https://www.crunchbase.com/organization/hbus#section-overview
Gdac,2018,https://www.coingecko.com/en/exchanges/gdac
Forkdelta,2018,https://forkdelta.app/about/
Fcoin,2018,https://hackernoon.com/the-death-of-fcoin-a-tale-of-bad-token-design-261d64a8116f
Dextop,2018,https://support.dex.top/hc/en-us/articles/360014138933-Decentralized-Exchange-DEx-top-Acquired-By-Bibox
Coineal,2018,https://www.linkedin.com/company/coineal/
Coindeal,2018,https://coindeal.com/about-us
Coinbit,2018,http://crypto.marketswiki.com/index.php?title=Coinbit
Bitrue,2018,https://cryptocoinspy.com/bitrue-exchange-launches-with-ripple-xrp-as-base-currency/
Bitkub,2018,https://www.crunchbase.com/organization/bitkub-com
Allbit,2018,https://www.coingecko.com/en/exchanges/allbit
Zbg,2018,https://www.coingecko.com/en/exchanges/zbg
Yunex,2018,https://www.coingecko.com/en/exchanges/yunex
