urlName,url
Trade-Satoshi,https://coinmarketcap.com/exchanges/trade-satoshi/
Bitcointoyou,https://coinmarketcap.com/exchanges/bitcointoyou/
Bitcointrade,https://coinmarketcap.com/exchanges/bitcointrade/
Openledger,https://coinmarketcap.com/exchanges/openledger/
Dextop,https://coinmarketcap.com/exchanges/dextop/
Bigone,https://coinmarketcap.com/exchanges/bigone/
Gatehub,https://coinmarketcap.com/exchanges/gatehub/
Tidebit,https://coinmarketcap.com/exchanges/tidebit/
Ripplefox,https://coinmarketcap.com/exchanges/ripplefox/
Radar-Relay,https://coinmarketcap.com/exchanges/radar-relay/
Bleutrade,https://coinmarketcap.com/exchanges/bleutrade/
Bitbox,https://coinmarketcap.com/exchanges/bitbox/
Graviex,https://coinmarketcap.com/exchanges/graviex/
Bisq,https://coinmarketcap.com/exchanges/bisq/
Coincorner,https://coinmarketcap.com/exchanges/coincorner/
Forkdelta,https://coinmarketcap.com/exchanges/forkdelta/
Koinim,https://coinmarketcap.com/exchanges/koinim/
Tradeogre,https://coinmarketcap.com/exchanges/tradeogre/
Buda,https://coinmarketcap.com/exchanges/buda/
Neraexpro,https://coinmarketcap.com/exchanges/neraexpro/
Switcheo,https://coinmarketcap.com/exchanges/switcheo/
Aidos-Market,https://coinmarketcap.com/exchanges/aidos-market/
Braziliex,https://coinmarketcap.com/exchanges/braziliex/
Bit2C,https://coinmarketcap.com/exchanges/bit2c/
Ripple-China,https://coinmarketcap.com/exchanges/ripple-china/
Bittylicious,https://coinmarketcap.com/exchanges/bittylicious/
Btc-Trade-Ua,https://coinmarketcap.com/exchanges/btc-trade-ua/
Cryptomarket,https://coinmarketcap.com/exchanges/cryptomarket/
Bitex-La,https://coinmarketcap.com/exchanges/bitex-la/
C-Cex,https://coinmarketcap.com/exchanges/c-cex/
Coinrail,https://coinmarketcap.com/exchanges/coinrail/
Coinfalcon,https://coinmarketcap.com/exchanges/coinfalcon/
Nocks,https://coinmarketcap.com/exchanges/nocks/
Token-Store,https://coinmarketcap.com/exchanges/token-store/
Yunex,https://coinmarketcap.com/exchanges/yunex/
C-Patex,https://coinmarketcap.com/exchanges/c-patex/
Coingi,https://coinmarketcap.com/exchanges/coingi/
Paymium,https://coinmarketcap.com/exchanges/paymium/
Coinnest,https://coinmarketcap.com/exchanges/coinnest/
Southxchange,https://coinmarketcap.com/exchanges/southxchange/
Cryptomate,https://coinmarketcap.com/exchanges/cryptomate/
Coinut,https://coinmarketcap.com/exchanges/coinut/
Nanex,https://coinmarketcap.com/exchanges/nanex/
Crxzone,https://coinmarketcap.com/exchanges/crxzone/
Ezbtc,https://coinmarketcap.com/exchanges/ezbtc/
Triple-Dice-Exchange,https://coinmarketcap.com/exchanges/triple-dice-exchange/
Gatecoin,https://coinmarketcap.com/exchanges/gatecoin/
Iquant,https://coinmarketcap.com/exchanges/iquant/
Novaexchange,https://coinmarketcap.com/exchanges/novaexchange/
Tux-Exchange,https://coinmarketcap.com/exchanges/tux-exchange/
Isx,https://coinmarketcap.com/exchanges/isx/
Freiexchange,https://coinmarketcap.com/exchanges/freiexchange/
Btcc,https://coinmarketcap.com/exchanges/btcc/
Coinmex,https://coinmarketcap.com/exchanges/coinmex/
Rudex,https://coinmarketcap.com/exchanges/rudex/
Coinrate,https://coinmarketcap.com/exchanges/coinrate/
Heat-Wallet,https://coinmarketcap.com/exchanges/heat-wallet/
Bitshares-Asset-Exchange,https://coinmarketcap.com/exchanges/bitshares-asset-exchange/
Coincheck,https://coinmarketcap.com/exchanges/coincheck/
Bitmex,https://coinmarketcap.com/exchanges/bitmex/
Bithumb,https://coinmarketcap.com/exchanges/bithumb/
Lykke-Exchange,https://coinmarketcap.com/exchanges/lykke-exchange/
Guldentrader,https://coinmarketcap.com/exchanges/guldentrader/
Bits-Blockchain,https://coinmarketcap.com/exchanges/bits-blockchain/
Fisco,https://coinmarketcap.com/exchanges/fisco/
Exx,https://coinmarketcap.com/exchanges/exx/
Cobinhood,https://coinmarketcap.com/exchanges/cobinhood/
Barterdex,https://coinmarketcap.com/exchanges/barterdex/
Coinex,https://coinmarketcap.com/exchanges/coinex/
Zebpay,https://coinmarketcap.com/exchanges/zebpay/
Fcoin,https://coinmarketcap.com/exchanges/fcoin/
Hbus,https://coinmarketcap.com/exchanges/hbus/
Airswap,https://coinmarketcap.com/exchanges/airswap/
Abcc,https://coinmarketcap.com/exchanges/abcc/
Instant-Bitex,https://coinmarketcap.com/exchanges/instant-bitex/
Cashierest,https://coinmarketcap.com/exchanges/cashierest/
Zbg,https://coinmarketcap.com/exchanges/zbg/
Bgogo,https://coinmarketcap.com/exchanges/bgogo/
Coinzest,https://coinmarketcap.com/exchanges/coinzest/
Coinbit,https://coinmarketcap.com/exchanges/coinbit/
Gdac,https://coinmarketcap.com/exchanges/gdac/
Coinall,https://coinmarketcap.com/exchanges/coinall/
Bcoin-Sg,https://coinmarketcap.com/exchanges/bcoin-sg/
Bitmax,https://coinmarketcap.com/exchanges/bitmax/
